This file contains the monthly mean baseline (background) nitrous oxide (N2O) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The N2O units are parts per billion in dry air (ppb).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: January 2025
 
YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),GR(ppm/yr),Source
2021,10,15,2021.786301000000,333.999,0.112500,1.58200,"flask"
2021,11,15,2021.871233000000,334.251,0.128900,1.22202,"flask"
2021,12,15,2021.953425000000,334.486,0.106200,1.45300,"flask"
2022,1,15,2022.038356000000,334.654,0.149100,1.48599,"flask"
2022,2,15,2022.123288000000,334.582,0.0889000,1.58701,"flask"
2022,3,15,2022.200000000000,334.575,0.0227000,1.62997,"flask"
2022,4,15,2022.284932000000,334.559,0.179900,1.26300,"flask"
2022,5,15,2022.367123000000,334.457,0.0955000,1.13498,"flask"
2022,6,15,2022.452055000000,334.514,0.0874000,1.14999,"flask"
2022,7,15,2022.534247000000,334.745,0.108200,1.18402,"flask"
2022,8,15,2022.619178000000,335.009,0.0770000,1.34000,"flask"
2022,9,15,2022.704110000000,335.214,0.190100,1.22998,"flask"
2022,10,15,2022.786301000000,335.262,0.0488000,1.15402,"flask"
2022,11,15,2022.871233000000,335.386,0.114600,1.27200,"flask"
2022,12,15,2022.953425000000,335.636,0.176500,1.11700,"flask"
2023,1,15,2023.038356000000,335.838,0.0512000,1.00800,"flask"
2023,2,15,2023.123288000000,335.922,0.0332000,1.15201,"flask"
2023,3,15,2023.200000000000,335.805,0.127500,1.13000,"flask"
2023,4,15,2023.284932000000,335.713,0.112800,1.17801,"flask"
2023,5,15,2023.367123000000,335.729,0.161200,1.24301,"flask"
2023,6,15,2023.452055000000,335.631,0.140100,1.08401,"flask"
2023,7,15,2023.534247000000,335.753,0.123900,0.979980,"flask"
2023,8,15,2023.619178000000,336.161,0.192500,0.912994,"flask"
2023,9,15,2023.704110000000,336.344,0.0808000,0.968018,"flask"
2023,10,15,2023.786301000000,336.440,0.0953000,1.17599,"flask"
2023,11,15,2023.871233000000,336.629,0.139300,1.19998,"flask"
2023,12,15,2023.953425000000,336.720,0.0790000,1.19000,"flask"
2024,1,15,2024.038251000000,336.818,0.0313000,1.14001,"flask"
2024,2,15,2024.122951000000,336.835,0.0223000,0.912994,"flask"
2024,3,15,2024.202186000000,336.773,0.176400,0.871002,"flask"
2024,4,15,2024.286885000000,336.889,0.182600,0.898987,"flask"
2024,5,15,2024.368852000000,336.929,0.0307000,0.877014,"flask"
2024,6,15,2024.453552000000,336.821,0.0417000,NaN,"flask"
2024,7,15,2024.535519000000,336.893,0.0832000,NaN,"flask"
2024,8,15,2024.620219000000,337.074,0.129600,NaN,"flask"
2024,9,15,2024.704918000000,337.215,0.134000,NaN,"flask"
2024,10,15,2024.786885000000,337.339,0.0734000,NaN,"flask"
2024,11,15,2024.871585000000,337.506,0.0511000,NaN,"flask"
 
 ,
Terms of Use,
,
1. Terminology ,
‘Content’ means the content of the site [http://www.csiro.au/greenhouse-gases] including ,
"but not limited to, data, information, databases, images and material.",
,
"‘you/user’ means you as a website user, or Content/data user.",
,
2. Using Content ,
"CSIRO reserves the right to make corrections, revisions, updates and improvements to any ",
Content on this site but is under no obligation to do so.,
,
"Without limiting the foregoing, the most recent year of data is provided in this site on",
a provisional basis only and may be subject to further revision.,
,
"If you use or download Content from this site, you acknowledge that such Content:",
    - may contain statements based on scientific research and comprises data collected by ,
      CSIRO and third parties; ,
"    - is not professional, scientific, medical, technical or expert advice and is subject ",
      to the usual uncertainties of advanced scientific and technical research; ,
    - should not be relied upon as the basis for doing or failing to do something. ,
,
References or links to third party data are provided for information and convenience only ,
and do not mean that CSIRO endorses or approves that data.,
,
"Any use of the Content must acknowledge the source of the Information as 'CSIRO Environment ",
and the Australian Bureau of Meteorology (Kennaook / Cape Grim Baseline Air ,
"Pollution Station)' and include a statement that CSIRO and the Australian Bureau of ",
"Meteorology give no warranty regarding the accuracy, completeness, currency or suitability ",
for any particular purpose and accept no liability in respect of data.,
,
The Content on this site must not be distributed or disseminated to third parties without ,
the attachment of the Terms of Use.,
,
3. Grant of licence ,
"CSIRO grants you a royalty-free, non-exclusive, non-transferable licence to use, reproduce, ",
adapt or communicate the Content on this site for any purpose other than a commercial ,
"purpose. For the purposes of this licence, 'commercial purpose' means to sell, hire, ",
"exchange or otherwise exploit the Content (whether in its original or adapted form, or ",
incorporated in products or services) for profit or gain.,
,
The rights granted under this licence are personal to the user and are not sub-licensable ,
or capable of assignment.,
,
4. Disclaimer ,
If you use or download any Content from this site you accept all risks and responsibility ,
"for losses, damages, costs and other consequences resulting directly or indirectly from ",
using the Content.,
,
"To the maximum extent permitted by law, CSIRO excludes any and all liability to any person ",
"for any consequences, including but not limited to all losses, damages, costs, expenses and",
"any other compensation, arising directly or indirectly from using the Content.",
,
"Every effort has been made to ensure the accuracy of the Content on this site, however ",
"CSIRO does not warrant the accuracy and reliability of the Content and, to the extent ",
"permitted by law, does not guarantee or make any express or implied representation regarding ",
"the accuracy, reliability, correctness, fitness for use for any purpose whatsoever of the ",
Content. Any use and/or interpretation of the Content is done so entirely at the user’s own risk.,
,
5. Whole agreement ,
Use of this site is subject also to CSIRO’s Legal Notice and Disclaimer ,
(http://www.csiro.au/org/LegalNoticeAndDisclaimer.html). By using this site and the Content ,
"available on and through it, you are agreeing to be bound by these Terms of Use and the ",
"Legal Notice and Disclaimer. If there is any conflict then these Terns of Use will prevail, ",
but only to the extent that it applies to the particular Content and to the extent ,
necessary to resolve any conflict.,
,
"CSIRO may change these Terms of Use at any time without giving you notice, so please check ",
them each time you visit the site (http://www.csiro.au/greenhouse-gases).,
